id,Phrase,Category,Points,Queries,Rank
58,Mindy McCready,Artists,3,"mindy, mccready mindy, mccready, mcready, mindy mcready, mindy mccready dead, mindy mccready songs, david wilson, mindy mccready video, mindy mccready death",8
59,Daft Punk,Artists,2,"daft, daft punk, get lucky, lucky daft punk, get lucky daft, daft punk random, daft punk lyrics, random access memories, daft punk 2013, album daft punk",9
60,Dakota Johnson,Artists,1,"dakota, dakota johnson, hunnam charlie, hunnam, shades of grey, 50 shades, jamie dornan, christian grey, matt bomer, dakota fanning",10
61,Under The Dome,TV,10,"the dome, dome, under dome, under, under the, under the dome, под куполом, la cupula, tv dome, the dome tv",1
62,Defiance,TV,9,"defiance, defiance tv, syfy, defiance syfy, defiance show, serie defiance, defiance episode, defiance game, tv show defiance, defiance review",2
63,Big Brother 15,TV,8,"big brother spoilers, big brother cast, amanda big brother, big brother 2013, watch big brother, cbs big brother, big brother online, aaryn big brother, big brother episodes, big brother canada",3
64,Agents of S.H.I.E.L.D.,TV,7,"shield, agents, agents of, shield agents, agents of shield, marvel, shield marvel, marvel shield agents, the shield, shield tv",4
65,Here Comes Honey Boo Boo,TV,6,"honey boo boo, honey, boo boo, boo, june boo boo, boo boo child, honey booboo, baby boo boo, honey 2, alana",5
66,Sleepy Hollow,TV,5,"sleepy, sleepy hollow, tv sleepy hollow, fox sleepy hollow, show sleepy hollow, sleepy hollow episode, sleepy hollow series, sleepy hollow 2013, serie sleepy hollow, sleepy hollow cast",6
67,Masters of Sex,TV,4,"masters, showtime, lizzy caplan, william masters, masters and johnson, virginia masters, michael sheen, virginia johnson, caitlin fitzgerald",7
68,Homeland,TV,3,"homeland, homeland 3, homeland 2, homeland season 3, homeland season 2, homeland online, homeland series, homeland tv, watch homeland, homeland streaming",8
69,The Blacklist,TV,2,"blacklist, the blacklist, blacklist tv, nbc blacklist, nbc, black list, the black list, the blacklist tv, blacklist show, tv show blacklist",9
70,Survivor,TV,1,"survivor, survivor 2013, survivor cast, survivor caramoan, watch survivor, survivor online, survivor cbs, survivor winner, watch survivor online, survivor 27",10
